"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"90-94 years"	"90-94"	"2007"	"2007"	16	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2008"	"2008"	15	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2009"	"2009"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2010"	"2010"	23	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2011"	"2011"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2012"	"2012"	15	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2013"	"2013"	14	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2014"	"2014"	16	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2015"	"2015"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2016"	"2016"	12	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2017"	"2017"	26	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"			248	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"1999"	"1999"	0	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2000"	"2000"	2	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2001"	"2001"	3	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2002"	"2002"	3	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2003"	"2003"	0	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2004"	"2004"	3	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2005"	"2005"	3	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2006"	"2006"	4	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2007"	"2007"	3	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2008"	"2008"	4	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2009"	"2009"	5	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2010"	"2010"	4	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2011"	"2011"	6	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2012"	"2012"	7	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2013"	"2013"	6	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2014"	"2014"	8	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2015"	"2015"	6	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2016"	"2016"	5	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2017"	"2017"	9	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"			81	Not Applicable	Not Applicable
	"100+ years"	"100+"	"1999"	"1999"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2000"	"2000"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2001"	"2001"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2002"	"2002"	1	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2003"	"2003"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2004"	"2004"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2005"	"2005"	1	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2006"	"2006"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2007"	"2007"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2008"	"2008"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2009"	"2009"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2010"	"2010"	2	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2011"	"2011"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2012"	"2012"	1	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2013"	"2013"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2014"	"2014"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2015"	"2015"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2016"	"2016"	0	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2017"	"2017"	0	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"			5	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"1999"	"1999"	6	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2000"	"2000"	10	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2001"	"2001"	7	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2002"	"2002"	7	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2003"	"2003"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2004"	"2004"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2005"	"2005"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2006"	"2006"	5	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2007"	"2007"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2008"	"2008"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2009"	"2009"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2010"	"2010"	1	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2011"	"2011"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2012"	"2012"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2013"	"2013"	3	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2014"	"2014"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2015"	"2015"	2	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2016"	"2016"	4	Not Applicable	Not Applicable
	"Not Stated"	"NS"	"2017"	"2017"	13	Not Applicable	Not Applicable
"Total"	"Not Stated"	"NS"			79	Not Applicable	Not Applicable
"Total"					399230	5761465567	6.929
"---"
"Dataset: Multiple Cause of Death, 1999-2017"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Group By: Five-Year Age Groups; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Apr 8, 2019 1:19:58 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2017 on CDC WONDER Online Database, released December, 2018. Data are from the Multiple Cause of Death Files, 1999-2017, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Apr 8, 2019 1:19:58 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"6. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"7. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"8. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the Vintage 2017"
"postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The population figures for"
"year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal series released by NCHS"
"on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26, 2014. The"
"population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012 postcensal"
"series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1 resident"
"population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"9. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"10. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
